标题,播放数,链接
你的青春里有没有属于你的一首歌？,1450万,https://music.163.com/playlist?id=2201879658
100个悲伤的瞬间，有没有你的心酸？,785万,https://music.163.com/playlist?id=2179646633
致回不去的校园，致那美好的曾经,551万,https://music.163.com/playlist?id=2182683172
节奏带感且时尚性感<100首Fashion BGM>,814万,https://music.163.com/playlist?id=2173059435
于时间的长廊上 你再也不等我,967万,https://music.163.com/playlist?id=2168895862
熬夜和想你，我都该戒掉了,1279万,https://music.163.com/playlist?id=2163517726
"""多少人以朋友的名义爱着一个人? """,703万,https://music.163.com/playlist?id=2162749304
细数那些值得单曲循环的民谣,717万,https://music.163.com/playlist?id=2150055953
我爱你 第一句是假的 第二句也是假的,1281万,https://music.163.com/playlist?id=2144281377
节奏带感且深邃性感 ️️这才系Deep House呀,885万,https://music.163.com/playlist?id=2139118830
岁月如潮水，将我向老歌推,1254万,https://music.163.com/playlist?id=2139305008
歌词唱透了心声，回忆模糊了眼眸,1164万,https://music.163.com/playlist?id=2139324915
求求你们了，让我睡会儿好不好,721万,https://music.163.com/playlist?id=2131958935
生活，太需要这些节奏了,690万,https://music.163.com/playlist?id=2133712293
台湾偶像剧黄金年代|记忆是阵阵花香,644万,https://music.163.com/playlist?id=2134421380
下次理发我要让我的Tony播放这个歌单,1356万,https://music.163.com/playlist?id=2120785460
「不老女声」你 是 窗 前 深 浅 白 月 光,755万,https://music.163.com/playlist?id=2121679666
暖春，寄一首阳光明媚的歌给你,583万,https://music.163.com/playlist?id=2114030515
『無前奏 | 女嗓』开口即跪 心醉神迷.,1302万,https://music.163.com/playlist?id=2089907261
赶走阴霾 来一首欢快的欧美小调,814万,https://music.163.com/playlist?id=2084738832
古风精选 你眼中是江湖 我眼中是你,598万,https://music.163.com/playlist?id=2074681032
痛彻心扉地哭，然后刻骨铭心地记住,953万,https://music.163.com/playlist?id=2059430694
只是想安静的 享受那份呼吸的感觉。o・°。,650万,https://music.163.com/playlist?id=2058497430
2018全年抖腿指南，老铁你怕了吗？,1094万,https://music.163.com/playlist?id=2050704516
百首日系抒情，总有一首触动你的心,544万,https://music.163.com/playlist?id=2048970456
『曲作精选』细数古风圈原创作曲人❶,671万,https://music.163.com/playlist?id=2041615881
粤语女声 I 故事太多 没人会听你诉说,664万,https://music.163.com/playlist?id=2047424322
华语 | 听歌最怕应景，触景最怕生情,1482万,https://music.163.com/playlist?id=2042006896
再深的感情也抵挡不住缘分的交错,701万,https://music.163.com/playlist?id=2036154174
"""你和我之间，只隔着一首歌的距离""",664万,https://music.163.com/playlist?id=1992869190
还记得你的梦想吗？别让你的梦只有想,535万,https://music.163.com/playlist?id=2219770152
毕业倒计时：时光里的伤心旅客,845万,https://music.163.com/playlist?id=2219538180
后来你哭了，想安慰却忘了早已换了身份,553万,https://music.163.com/playlist?id=2218171336
我最大的遗憾，是你的遗憾与我有关,843万,https://music.163.com/playlist?id=2201957752
◢◤Avicii丨当一切都结束的时候再叫醒我,791万,https://music.163.com/playlist?id=2193725733
「毕业将至」我最想和你做的六十一件事。,545万,https://music.163.com/playlist?id=2178572409
不怕汉子有文化，只怕他们有吉他,508万,https://music.163.com/playlist?id=2180739925
「怦然心动」喜欢你头发的淡淡西瓜味,712万,https://music.163.com/playlist?id=2182092714
华语 | 我没有很想你，只是经常梦见你,522万,https://music.163.com/playlist?id=2172208421
你不知道我多羡慕你特立独行的样子,509万,https://music.163.com/playlist?id=2154763064
以丧止丧 听一首把自己感动到哭的丧的歌,740万,https://music.163.com/playlist?id=2141039987
哼首欢快的歌 来拯救你的小确丧,711万,https://music.163.com/playlist?id=2144082923
情书｜像喜欢星期五的下午那样喜欢你,516万,https://music.163.com/playlist?id=2133976544
再听这些歌时你已热泪盈眶，你曾是少年,589万,https://music.163.com/playlist?id=2128858806
当你穿山越岭，我把我唱给你听,629万,https://music.163.com/playlist?id=2131695543
仙人抚我顶，结发受长生。,708万,https://music.163.com/playlist?id=2132009349
致暗恋：陪伴是最怂的告白,621万,https://music.163.com/playlist?id=2127074784
华研国际热门音乐精选50首,1045万,https://music.163.com/playlist?id=2120700410
听说把糖放在枕头底下会做一个甜甜的梦,643万,https://music.163.com/playlist?id=2091484707
你说你很累，可谁又活得顺风顺水,785万,https://music.163.com/playlist?id=2055724092
妈妈，他的糖里有毒,1166万,https://music.163.com/playlist?id=2052760419
2017年度最受欢迎个性推荐歌曲,4759万,https://music.163.com/playlist?id=2039098272
『致前任』我曾经很喜欢你 但也只能到这里,889万,https://music.163.com/playlist?id=2049424729
愿还会有人，做个傻子陪你浪费一生,550万,https://music.163.com/playlist?id=2042205655
2017年度最热新歌TOP100,4798万,https://music.163.com/playlist?id=2039073542
人这一辈子，最怕突然听懂了一首歌。,1229万,https://music.163.com/playlist?id=2020864493
适合努力学习英语时听的歌曲,1110万,https://music.163.com/playlist?id=2015397679
无前奏丨女声丨欧美丨三秒爱上,686万,https://music.163.com/playlist?id=2008935342
2018年四月最热新歌TOP50,661万,https://music.163.com/playlist?id=2208764332
你18岁时喜欢的人，现在怎么样了？,593万,https://music.163.com/playlist?id=2063351734
